Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Willson Contreras\contrwi01,26,138,544,474,50,118,27,5,10,54,4,1,53,121,.249,.339,.390,.730,93,185,14,13,2,2,2
2,1B,Anthony Rizzo*\rizzoan01,28,153,665,566,74,160,29,1,25,101,6,4,70,80,.283,.376,.470,.846,123,266,11,20,0,9,15
3,2B,Javier Baez\baezja01,25,160,645,606,101,176,40,9,34,111,21,9,29,167,.290,.326,.554,.881,128,336,10,5,1,4,8
4,SS,Addison Russell\russead02,24,130,465,420,52,105,21,1,5,38,4,0,40,99,.250,.317,.340,.657,75,143,7,2,1,2,2
5,3B,Kris Bryant\bryankr01,26,102,457,389,59,106,28,3,13,52,2,4,48,107,.272,.374,.460,.834,120,179,5,17,0,3,6
6,LF,Kyle Schwarber*\schwaky01,25,137,510,428,64,102,14,3,26,61,4,3,78,140,.238,.356,.467,.823,116,200,6,1,1,2,20
7,CF,Albert Almora\almoral01,24,152,479,444,62,127,24,1,5,41,1,3,24,83,.286,.323,.378,.701,86,168,12,3,2,6,1
8,RF,Jason Heyward*\heywaja01,28,127,489,440,67,119,23,4,8,57,1,1,42,60,.270,.335,.395,.731,93,174,7,2,2,2,1
9,UT,Ben Zobrist#\zobribe01,37,139,520,455,67,139,28,3,9,58,3,4,55,60,.305,.378,.440,.817,116,200,8,2,1,7,1
10,OF,Ian Happ#\happia01,23,142,462,387,56,90,19,2,15,44,8,4,70,167,.233,.353,.408,.761,102,158,6,3,0,2,9
11,3B,David Bote\boteda01,25,74,210,184,23,44,9,2,6,33,3,4,19,60,.239,.319,.408,.727,91,75,3,4,0,3,1
12,C,Victor Caratini#\caratvi01,24,76,200,181,21,42,7,0,2,21,0,0,12,42,.232,.293,.304,.597,59,55,5,4,2,1,0
13,IF,Tommy La Stella*\lasteto01,29,123,192,169,23,45,8,0,1,19,0,1,17,27,.266,.340,.331,.672,80,56,5,2,0,0,1
14,2B,Daniel Murphy*\murphda08,33,35,146,138,23,41,6,0,6,13,2,0,7,23,.297,.329,.471,.800,109,65,1,0,0,1,0
15,C,Chris Gimenez\gimench01,35,12,32,28,1,4,0,0,0,1,1,0,3,7,.143,.219,.143,.362,-1,4,1,0,0,1,0
16,1B,Efren Navarro*\navaref01,32,4,6,6,0,1,0,0,0,0,0,0,0,4,.167,.167,.167,.333,-11,1,0,0,0,0,0
17,UT,Taylor Davis\davista01,28,5,6,5,0,2,0,0,0,2,0,0,0,1,.400,.333,.400,.733,94,2,0,0,0,1,0
18,RF,Mark Zagunis\zagunma01,25,5,6,5,0,2,1,0,0,1,0,0,1,1,.400,.500,.600,1.100,191,3,0,0,0,0,0
19,UT,Terrance Gore\gorete01,27,14,5,5,5,1,0,0,0,0,6,0,0,1,.200,.200,.200,.400,7,1,0,0,0,0,0
20,2B,Mike Freeman*\freemmi01,30,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,1,0,0
21,P,Kyle Hendricks\hendrky01,28,31,66,60,1,4,1,0,0,1,0,0,2,31,.067,.097,.083,.180,-51,5,0,0,4,0,0
22,P,Jon Lester*\lestejo01,34,31,65,59,4,7,0,0,1,9,0,0,0,22,.119,.119,.169,.288,-25,10,1,0,6,0,0
23,P,Jose Quintana\quintjo01,29,30,58,52,0,4,0,0,0,0,0,0,0,26,.077,.077,.077,.154,-59,4,3,0,6,0,0
24,P,Mike Montgomery*\montgmi01,28,37,35,33,1,3,0,0,0,1,0,0,1,20,.091,.118,.091,.209,-43,3,0,0,1,0,0
25,P,Tyler Chatwood\chatwty01,28,23,32,25,3,4,0,0,0,2,0,0,1,6,.160,.192,.160,.352,-5,4,0,0,6,0,0
26,P,Cole Hamels*\hamelco01,34,11,25,23,1,3,0,0,1,1,0,0,1,12,.130,.167,.261,.428,11,6,0,0,1,0,0
27,P,Yu Darvish\darviyu01,31,8,14,12,0,1,1,0,0,0,0,0,0,7,.083,.083,.167,.250,-36,2,0,0,2,0,0
28,P,Steve Cishek\cishest01,32,76,6,6,1,1,0,0,0,0,0,0,0,2,.167,.167,.167,.333,-11,1,0,0,0,0,0
29,P,Luke Farrell*\farrelu01,27,19,5,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,1,0,0
30,P,Alec Mills\millsal02,26,7,5,5,0,1,0,0,0,0,0,0,0,2,.200,.200,.200,.400,7,1,0,0,0,0,0
31,P,Eddie Butler\butleed01,27,8,3,2,0,0,0,0,0,0,0,0,1,0,.000,.333,.000,.333,0,0,0,0,0,0,0
32,P,James Norwood\norwoja01,24,10,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,1,0,0,0,0
33,P,Randy Rosario*\rosarra01,24,43,2,1,1,1,0,0,0,1,0,0,1,0,1.000,1.000,1.000,2.000,435,1,0,0,0,0,0
34,P,Justin Hancock\hancoju01,27,10,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0
35,P,Pedro Strop\stroppe01,33,57,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,1,0,0,0,0
36,P,Brian Duensing*\duensbr01,35,47,2,1,1,0,0,0,0,0,0,0,1,1,.000,.500,.000,.500,50,0,0,0,0,0,0
37,P,Brandon Morrow\morrobr01,33,35,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
38,P,Duane Underwood Jr.\underdu01,23,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0
39,P,Brandon Kintzler\kintzbr01,33,23,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
40,P,Justin Wilson*\wilsoju10,30,67,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
41,P,Anthony Bass\bassan01,30,16,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
42,P,Jaime Garcia*\garcija02,31,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
43,P,Jen-Ho Tseng*\tsengje01,23,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
44,P,Carl Edwards Jr.\edwarca01,26,55,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
45,P,Jorge De La Rosa*\rosajo01,37,16,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
46,P,Rob Zastryzny\zastrro01,26,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
47,P,Allen Webster\webstal01,28,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
48,P,Jesse Chavez\chaveje01,34,29,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
49,P,Dillon Maples\mapledi01,26,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
50,P,Cory Mazzoni\mazzoco01,28,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
,,Team Totals,27.1,163,6369,5624,761,1453,286,34,167,722,66,38,576,1388,.258,.333,.410,.744,96,2308,107,78,40,46,67
,,Rank in 15 NL teams,,,,1,4,1,4,4,11,,13,13,4,7,1,2,6,5,,6,,2,,3,
,,Non-Pitcher Totals,26.9,163,6040,5330,748,1424,284,34,165,707,66,38,568,1250,.267,.344,.426,.770,103,2271,101,78,13,46,67
,,Pitcher Totals,29.8,163,329,294,13,29,2,0,2,15,0,0,8,138,.099,.123,.126,.248,-34,37,6,0,27,0,0
